name,ingredients
Balu shahi,"maida flour, yogurt, oil, sugar"
Boondi,"gram flour, ghee, sugar"
Gajar ka halwa,"carrots, milk, sugar, ghee, cashews, raisins"
Ghevar,"flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
Gulab jamun,"milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
Imarti,"sugar syrup, lentil flour"
Jalebi,"maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
Kaju katli,"cashews, ghee, cardamom, sugar"
Kalakand,"milk, cottage cheese, sugar"
Kheer,"milk, rice, sugar, dried fruits"
Laddu,"gram flour, ghee, sugar"
Lassi,"yogurt, milk, nuts, sugar"
Nankhatai,"refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
Petha,"firm white pumpkin, sugar, kitchen lime, alum powder"
Phirni,"rice, sugar, nuts"
Rabri,"condensed milk, sugar, spices, nuts"
Sheera,"semolina, ghee, nuts, milk"
Singori,"khoa, coconut, molu leaf"
Sohan halwa,"corn flour, ghee, dry fruits"
Sohan papdi,"gram flour, ghee, sugar, milk, cardamom"
Chhena jalebi,"chhena, sugar, ghee"
Chhena kheeri,"chhena, sugar, milk"
Chhena poda,"sugar, chenna cheese"
Cham cham,"flour, cream, sugar, saffron, lemon juice, coconut flakes"
Kheer sagar,"chenna, condensed milk, sugar, saffron, cardamom"
Ledikeni,"chhena, sugar, ghee"
Lyangcha,"flour, fried milk power, sugar syrup"
Malapua,"yoghurt, refined flour, ghee, fennel seeds"
Mihidana,"besan flour, sugar, ghee"
Misti doi,"milk, jaggery"
Pantua,"chhena, sugar, ghee, flour"
Pithe,"rice flour, wheat flour"
Rasabali,"chenna, sweetened milk"
Ras malai,"chhena, reduced milk, pistachio"
Rasgulla,"chhena, sugar, cardamom"
Sandesh,"milk, sugar, saffron, cardamom"
Adhirasam,"rice flour, jaggery, ghee, vegetable oil, elachi"
Ariselu,"rice flour, jaggery, ghee"
Bandar laddu,"besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar"
Chikki,"peanuts, jaggery"
Dharwad pedha,"milk, sugar, dharwadi buffalo milk"
Double ka meetha,"loaf bread, milk"
