name,time,link,image,ingredient,Unnamed: 6
Instant Oats Dosa,15,https://food.ndtv.com/recipe-instant-oats-dosa-956389,https://c.ndtvimg.com/2021-12/fvflpc8_dosa_240x180_17_December_21.jpg,"rolledoats, sooji, riceflour, fenugreekseeds, salt, asafoetida, blackpepper, curryleaves, gingergrated, greenchillies, coriander, onion, oil",15
Chilli Idli,20,https://food.ndtv.com/recipe-chilli-idli-956384,https://c.ndtvimg.com/2021-07/1e7m393_idli-tikka_240x180_02_July_21.jpg,"idli, onion, capsicum, greenchillies, gingergarlicpaste, garlic, blackpepper, salt, redchillisauce, soyasauce, vinegar, cornstarch, maida, oilasrequired",20
Chicken Mayo Roll,15,https://food.ndtv.com/recipe-chicken-mayo-roll-recipe-956373,https://c.ndtvimg.com/2021-12/ket9amk_fish-roll_240x180_30_December_21.jpg,"bonelesschicken, curd, redchillipowder, corianderpowder, turmericpowder, chaatmasala, salttotaste, gingergarlicpaste, oil, mayonnaise, onions, choppedgarlic, chilliflakes, oregano, wheatflour, refinedflour",15
Tandoori Bharwan Capsicum,15,https://food.ndtv.com/recipe-tandoori-bharwan-capsicum-956357,https://c.ndtvimg.com/2022-01/3g8sj3uo_bharwan-capsicum-omelette_120x90_07_January_22.jpg,"capsicums, onion, mashedpotatoes, paneer, crushedpeanuts, gingergarlicpaste, redchillipowder, chaatmasala, cuminpowder, corianderpowder, salt",15
Tandoori Nazakat Aloo,25,https://food.ndtv.com/recipe-tandoori-nazakat-aloo-956356,https://c.ndtvimg.com/2022-01/0s3hpoq_tandoori-nazakat-aloo_120x90_20_January_22.jpg,"potatoes, paneer, cashewnuts, choppedfried, raisins, afewsprigsfreshcorianderleaves, afewsprigsfreshmintleaves, salt, redchillipowder, greenchillipaste, ginger, chaatmasala, garammasalapowder, hungyogurt, garlicpaste, gingerpaste, roastedchanadalpowder, turmericpowder, cuminseeds, kasoorimethipowder",25
Goan Chicken Rava Fry,20,https://food.ndtv.com/recipe-goan-chicken-rava-fry-956345,https://c.ndtvimg.com/2022-01/r80fhco8_chicken-goan-fry_120x90_18_January_22.jpg,"dahi, redchilli, blackpepper, greencardamom, ginger-garlicpaste, lemonjuice, chickenpieces, rava",20
Garlic Butter Chicken,20,https://food.ndtv.com/recipe-garlic-butter-chicken-956344,https://c.ndtvimg.com/2022-01/6euncfa_garlic-butter-chicken_120x90_18_January_22.jpg,"bonelesschickenpieces, egg, mincedgarlic, butter, onion, blackpepperpowder, saltaccordingtotaste, cornflourpowder, all-purposeflour, springonionchopped, italianseasoning",20
Chicken Boti Kebab,20,https://food.ndtv.com/recipe-chicken-boti-kebab-956343,https://c.ndtvimg.com/2022-01/893a34io_chicken-boti-kebab_120x90_18_January_22.jpg,"bonelesschicken, hungcurd, ginger-garlicpaste, garammasala, nutmeg, cuminpowder, corianderpowder, besan, mustardoil, kashmiriredchilipowder, blacksalt, saltasrequired, cookingoil",20
Whole Wheat Chicken Momo ,15,https://food.ndtv.com/recipe-whole-wheat-chicken-momo-956338,https://c.ndtvimg.com/2020-07/spmv3tm8_momos_120x90_02_July_20.jpg,"atta, oil, mincedchicken, mincedonion, mincedginger, mincedcorianderleaves, butter, saltaccordingtotaste",15
Chicken Hara Bhara Kebab,15,https://food.ndtv.com/recipe-chicken-hara-bhara-kebab-956328,https://c.ndtvimg.com/2022-01/t2iuu6go_hara-bhara-kebab_120x90_13_January_22.jpg,"mincedchicken, onion, chopped, spinach, peas, boiledpotatoes, ginger-garlicpaste, turmericpowder, greenchillies, salttotaste, redchillipowdertotaste, chaatmasala, garammasala, cuminpowder, riceflour",15
